review_id,product_id1,product_cat,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
7bc2406110b926393aa56f80a40eba40,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,e481f51cbdc54678b7cc49136f2d6af7,4,,,1/18/2018,1/18/2018
80e641a11e56f04c1ad469d5645fdfde,e5f2d52b802189ee658865ca93d83a8f,pet_shop,53cdb2fc8bc7dce0b6741e2150273451,5,,,3/10/2018,3/11/2018
228ce5500dc1d8e020d8d1322874b6f0,c777355d18b72b67abbeef9df44fd0fd,furniture_decor,47770eb9100c2d0c44946d9cf07ec65d,5,,,2/17/2018,2/18/2018
e64fb393e7b32834bb789ff8bb30750e,7634da152a4610f1595efa32f14722fc,perfumery,949d5b44dbf5de918fe9c16f97b45f8a,5,,I received well before the deadline.,4/21/2017,4/21/2017
f7c4243c7fe1938f181bec41a392bdeb,ac6c3623068f30de03045865e4e10089,garden_tools,ad21c59c0840e6cb83a9ceb5573f8159,5,,Congratulations loved lannister stores buy the safe and practical Internet Congratulations to all happy Easter,3/1/2018,3/2/2018
15197aa66ff4d0650b5434f1b46cda19,ef92defde845ab8450f9d70c526ef70f,housewares,a4591c265e18cb1dcee52889e2d8acc3,1,,,4/13/2018,4/16/2018
07f9bee5d1b850860defd761afa7ff16,8d4f2bb7e93e6710a28f34fa83ee7d28,telephony,136cce7faa42fdb2cefd53fdc79a6098,5,,,7/16/2017,7/18/2017
7c6400515c67679fbee952a7525281ef,557d850972a7d6f792fd18ae1400d9b6,garden_tools,6514b8ad8028c9f2cc2374ded245783f,5,,,8/14/2018,8/14/2018
a3f6f7f6f433de0aefbb97da197c554c,310ae3c140ff94b03219ad0adc3c778f,health_beauty,76c6e866289321a7c93b82b54852dc33,5,,,5/17/2017,5/18/2017
8670d52e15e00043ae7de4c01cc2fe06,4535b0e1091c278dfd193e5a1d63b39f,books_technical,e69bfb5eb88e0ed6a785585b27e16dbf,4,I recommend,efficient device. site in the set to this printed as 3desinfector and get this under another name ... update with the correct brand since it is the same device,5/22/2018,5/23/2018
c9cfd2d5ab5911836ababae136c3a10c,d63c1011f49d98b976c352955b1c4bea,health_beauty,e6ce16cb79ec1d90b1da9085a6118aeb,5,,,12/23/2017,12/26/2017
96052551d87e5f62e6c9f6974ec392e9,f177554ea93259a5b282f24e33f65ab6,fashion_bags_acessories,34513ce0c4fab462a55830c0989c7edb,5,,,12/19/2017,12/20/2017
4b49719c8a200003f700d3d986ea1a19,99a4788cb24856965c36a24e339b6058,bed_bath_table,82566a660a982b15fb86e904c8d32918,4,,"But rather, waging ... the value ta Good.
",2/16/2018,2/20/2018
23f75a37effc35d9a915b4e1ad483793,368c6c730842d78016ad823897a372db,garden_tools,5ff96c15d0b717ac6ad1f3d77225a350,4,,,3/28/2018,3/30/2018
9a0abbb668bafb95a6d2b05db43284c4,368c6c730842d78016ad823897a372db,garden_tools,432aaf21d85167c2c86ec9448c4e42cc,3,,,4/30/2017,5/3/2017
